"40|1 0 2 2 1 1|2 5 2 1 2 2|3 3 0 1 3 3|4 5 1 2 1 4|5 2 3 2 1 5|6 0 3 2 1 6|7 5 5 2 1 7|8 1 4 1 3 8|9 4 0 1 3 9",
// "ArBdErGlGlBdErCdCdErIdIdDlDlDlDlCuCuIuIuElElBuBuBuBuErCdCdErGrCdArGrIdIdIdArAr"

"29|1 1 2 2 1 1|2 3 4 3 1 2|3 5 2 1 2 3|4 4 1 1 3 4|5 4 5 2 1 5|6 2 4 1 2 6|7 6 2 1 3 7|8 1 3 3 1 8|9 5 0 1 2 9",
// "ArDuElFdBlCdCdCdBrFuGdHrHrFuElElElFdFdBlBlHlHlDdDdDdArAr"

"18|1 1 2 2 1 1|2 6 1 1 3 2|3 5 0 1 3 3|4 2 6 2 1 4|5 5 4 2 1 5|6 3 3 1 2 6|7 4 1 1 2 7|8 4 3 1 2 8|9 2 0 3 1 9",
// "ArCdDlFdFdHdHdElBdBdElCdCdIlGuArAr"

"19|1 0 2 2 1 1|2 5 1 1 2 2|3 3 0 1 3 3|4 1 4 3 1 4|5 5 0 2 1 5|6 2 2 1 2 6|7 1 5 3 1 7|8 0 4 1 3 8|9 3 3 2 1 9",
// "BdBdBdFuFuArHuHuGlHuDlIrCdCdCdArArAr"

"29|1 0 2 2 1 1|2 4 0 1 3 2|3 2 2 1 2 3|4 2 4 1 2 4|5 3 3 3 1 5|6 5 0 1 3 6|7 4 5 2 1 7|8 4 4 2 1 8|9 3 4 1 2 9",
// "CuCuArArDuErIuGlGlGlGlDdDdIdElElElBdFdIdHlFdFdHlBdBdArAr"

"15|1 0 2 2 1 1|2 2 1 1 2 2|3 5 1 1 2 3|4 4 0 3 1 4|5 3 2 1 2 5|6 6 1 1 2 6|7 4 2 1 2 7|8 4 4 1 2 8|9 4 6 3 1 9",
// "BdBdArDlDlCuDlEdArFuGuGuArAr"

"18|1 1 2 2 1 1|2 3 0 1 3 2|3 3 5 3 1 3|4 6 1 1 2 4|5 5 2 1 2 5|6 1 4 2 1 6|7 5 0 2 1 7|8 3 4 3 1 8|9 6 3 1 2 9",
