"14|1 0 2 2 1 1|2 6 1 1 3 2|3 3 5 1 2 3|4 4 4 3 1 4|5 4 5 3 1 5|6 2 1 1 2 6|7 3 3 2 1 7",
// "CuFuArArArArGrCuCuDlBdElBd"

"22|1 0 2 2 1 1|2 2 1 1 3 2|3 1 4 2 1 3|4 0 3 1 3 4|5 3 1 2 1 5|6 4 3 1 3 6|7 5 0 1 2 7",
// "CrFuGdGdErErFuCrBdBdArArGdGdGdCrCrFdFdArAr"

"22|1 2 2 2 1 1|2 5 0 1 3 2|3 4 3 3 1 3|4 2 3 1 2 4|5 5 5 2 1 5|6 3 4 1 2 6|7 4 4 1 3 7",
// "ArClDuDuClBdBdClClDuAlFuGuGuElElBdElGdArAr"

"29|1 0 2 2 1 1|2 5 4 2 1 2|3 2 0 1 3 3|4 4 3 1 3 4|5 0 3 1 2 5|6 0 5 1 2 6|7 6 0 1 3 7",
// "CdCdCdArDuDuBlBlEuEuEuAlCuCuBlBlBlCdCdArArDdDdArArGdGdGd"

"17|1 1 2 2 1 1|2 6 0 1 3 2|3 5 1 1 2 3|4 5 4 2 1 4|5 3 5 3 1 5|6 4 3 1 2 6|7 3 0 1 3 7",
// "BdCuElElElFdFdDlBdBdGdGdGdArArAr"

"33|1 0 2 2 1 1|2 5 0 1 3 2|3 2 0 1 3 3|4 0 3 1 2 4|5 4 4 2 1 5|6 5 5 2 1 6|7 3 3 1 3 7",
// "BdCdCdCdArDuDuDuAlCuCuFlGuFlFlFlFlGuElBdBdElElElCdCdArGdGdArArAr"

"23|1 2 2 2 1 1|2 5 4 2 1 2|3 3 3 1 3 3|4 5 1 1 3 4|5 1 2 1 2 5|6 4 4 1 3 6|7 0 0 2 1 7",
// "EdAlCuCuEdEdFuFuFuBlBlBlBlCdCdArDdDdFdFdArAr"

"19|1 0 2 2 1 1|2 4 0 1 3 2|3 0 4 3 1 3|4 0 0 3 1 4|5 2 1 1 2 5|6 6 1 1 2 6|7 5 0 2 1 7",
// "BdCrCrCrEdEdArArEdEdClClBdBdArArFdFd"

"18|1 0 2 2 1 1|2 3 2 1 3 2|3 5 1 1 3 3|4 4 1 1 2 4|5 2 5 2 1 5|6 5 4 2 1 6|7 4 3 1 2 7",
// "ArBuDuElGdGdFlFlCdCdFlFlBdBdArArAr"

"21|1 1 2 2 1 1|2 4 1 1 3 2|3 5 0 1 3 3|4 2 5 3 1 4|5 1 4 1 2 5|6 0 3 3 1 6|7 4 4 3 1 7",
// "ArBuCdFrFrEuDlEuEuFlBdGlGlCdCdGlBdBdArAr"

"18|1 0 2 2 1 1|2 3 2 1 3 2|3 5 1 1 3 3|4 4 5 3 1 4|5 2 1 1 2 5|6 2 5 1 2 6|7 4 0 1 3 7",
// "CdDlEuArFuFuDlCdDlDlBdArGdGdGdArAr"

"16|1 0 2 2 1 1|2 3 3 3 1 2|3 5 0 1 3 3|4 2 2 1 2 4|5 5 5 2 1 5|6 3 1 1 2 6|7 3 5 2 1 7",
// "DuBlCdCdDuArFuArArGlElGlElCdAr"

"16|1 0 2 2 1 1|2 6 0 1 3 2|3 2 2 1 2 3|4 5 5 2 1 4|5 4 4 1 2 5|6 3 2 1 3 6|7 4 3 2 1 7",
// "BdBdCdArCdFdArArArFdGlGlEuDlBd"

"14|1 1 2 2 1 1|2 6 2 1 2 2|3 5 4 2 1 3|4 5 1 1 3 4|5 3 2 1 2 5|6 4 1 1 2 6|7 4 3 1 2 7",
// "EuEuArFuArGdGdClBdClDdDdAr"

"18|1 1 2 2 1 1|2 5 1 1 3 2|3 3 5 2 1 3|4 3 4 3 1 4|5 3 1 1 2 5|6 4 1 1 3 6|7 2 5 1 2 7",
// "EuArGuGuClClClGdGdDlBdBdDlFdFdArAr"

"25|1 0 2 2 1 1|2 2 1 1 3 2|3 0 5 3 1 3|4 1 4 3 1 4|5 5 2 1 2 5|6 6 2 1 3 6|7 3 1 1 3 7",
// "CrCrCrCrDrDrBdBdArEuEuFuDrGdGdArArArGuClGuDlFdFd"

"16|1 0 2 2 1 1|2 6 0 1 3 2|3 3 2 1 2 3|4 5 5 2 1 4|5 2 5 3 1 5|6 1 4 1 3 6|7 0 3 2 1 7",
// "ArBdBdCuCuArArArGrGrFuFuElDlBd"

"21|1 0 2 2 1 1|2 4 0 1 3 2|3 2 0 1 3 3|4 3 4 2 1 4|5 6 2 1 2 5|6 3 5 2 1 6|7 2 3 3 1 7",
// "DrDrEuEuFrFrGrCdCdCdArArCdGlGlBdBdBdArAr"

"13|1 1 2 2 1 1|2 3 0 1 3 2|3 5 1 1 2 3|4 5 3 1 2 4|5 5 0 2 1 5|6 4 2 1 2 6|7 6 1 1 3 7",
// "BdBdBdArElElCuFdArArGdGd"

"20|1 0 2 2 1 1|2 4 5 3 1 2|3 5 0 1 3 3|4 2 1 1 2 4|5 3 5 1 2 5|6 2 3 3 1 6|7 5 3 2 1 7",
// "DuArArArEuFlFlEuBlBlBlBlEdGlGlCdCdCdAr"

"13|1 0 2 2 1 1|2 4 2 1 2 2|3 2 1 1 2 3|4 2 0 2 1 4|5 6 0 1 3 5|6 5 2 1 3 6|7 3 5 3 1 7",
// "BdCdCdArArArEdEdEdGlFdAr"

"13|1 0 2 2 1 1|2 2 2 1 2 2|3 1 4 2 1 3|4 3 1 1 2 4|5 5 2 1 3 5|6 6 0 1 3 6|7 3 5 3 1 7",
// "BuBuArDuArArFdFdFdGlEdAr"

"29|1 0 2 2 1 1|2 5 2 1 3 2|3 5 5 2 1 3|4 2 0 1 3 4|5 0 4 3 1 5|6 0 3 3 1 6|7 3 3 1 2 7",
// "BuBuClClGuErErErGuFrFrFrDdDdDdArGuArArDuDuDuElFlBdBdBdAr"

"28|1 0 2 2 1 1|2 4 3 3 1 2|3 5 0 1 3 3|4 4 4 3 1 4|5 3 3 1 3 5|6 5 5 2 1 6|7 4 5 1 2 7",
// "ArEdBlBlBlBlCdEuEuEuDlDlCdDlDlEdGuGuFlFlCdFlFlEdArArAr"

"13|1 1 2 2 1 1|2 6 0 1 3 2|3 4 1 1 2 3|4 5 2 1 2 4|5 3 2 1 2 5|6 3 4 3 1 6|7 2 1 2 1 7",
// "BdBdBdCuDuDuGlEuEuArArAr"

"34|1 0 2 2 1 1|2 5 0 1 3 2|3 5 5 2 1 3|4 3 0 1 3 4|5 3 4 2 1 5|6 1 5 1 2 6|7 1 3 2 1 7",
// "ArBdClDdErDdDdArDdFuGrFuFuFuFuAlGlDuDuClClClDuElBdBdElElDdDdArArAr"

"31|1 0 2 2 1 1|2 3 2 1 3 2|3 5 4 2 1 3|4 5 0 1 3 4|5 4 5 2 1 5|6 1 4 1 2 6|7 0 3 2 1 7",
// "ArBdArBdClDdGrGrFuFuFuFuAlGlBuBuBuClClClBdDdElDdElElBdArArAr"

"17|1 0 2 2 1 1|2 3 2 1 2 2|3 5 1 1 3 3|4 2 1 1 3 4|5 4 2 1 3 5|6 3 4 1 2 6|7 4 5 2 1 7",
// "BuBuCdDdFuGlCdGlEdGlGlDdArArArAr"

"29|1 0 2 2 1 1|2 3 0 1 3 2|3 5 1 1 3 3|4 3 4 2 1 4|5 1 3 1 2 5|6 5 5 2 1 6|7 0 0 2 1 7",
// "ArBdDrBdBdArEuEuFlGrGrEuAlBuBuDlCdDlDlBdFlCdFlFlBdArArAr"

"30|1 1 2 2 1 1|2 2 5 3 1 2|3 3 1 1 3 3|4 5 2 1 3 4|5 4 2 1 2 5|6 1 5 1 2 6|7 0 4 2 1 7",
// "DuGrGrFuFuBlBlGrGrCdCdArFuFuFuAlCuCuGlDdDdGlEdGlCdCdArArAr"

"16|1 2 2 2 1 1|2 4 0 1 3 2|3 5 5 2 1 3|4 5 2 1 3 4|5 2 5 1 2 5|6 2 3 2 1 6|7 3 5 1 2 7",
// "BdBdClEuFlFlEuGuGuClClBdArDdAr"

"25|1 1 2 2 1 1|2 3 4 1 3 2|3 6 0 1 3 3|4 4 4 3 1 4|5 2 1 3 1 5|6 5 0 1 3 6|7 5 5 2 1 7",
// "BuBuCdElElBuDlCdDlDlDlBdFdFdGlCdGlFdGlGlBdArArAr"

"14|1 0 2 2 1 1|2 5 2 1 3 2|3 3 5 3 1 3|4 4 2 1 3 4|5 3 1 1 2 5|6 1 3 1 3 6|7 6 0 1 3 7",
// "ArClBdEuArFuClDdArArGdGdGd"

"21|1 0 2 2 1 1|2 5 0 1 3 2|3 4 4 3 1 3|4 2 1 1 3 4|5 2 5 2 1 5|6 3 3 1 2 6|7 6 0 1 3 7",
// "BdDdErDdArFuClFuFuArArDuDuClBdBdArGdGdGd"

